Date,Ticker,Sector,PE,ROE,Momentum,RSI,Action
2026-05-01,RY,Financial,17.26,15.5%,0.1134,69.3,🟡 持有
2026-05-01,SEIC,Financial,15.5,31.4%,0.1804,79.7,🔴 止盈
2026-05-01,SF,Financial,15.27,15.3%,0.0545,45.3,🟡 持有
2026-05-01,SFBS,Financial,14.84,16.6%,0.0992,56.3,🟡 持有
2026-05-01,SN,Consumer Cyclical,23.59,30.4%,0.1132,51.6,🟡 持有
2026-05-01,SNA,Industrials,19.98,17.8%,0.0547,52.4,🟡 持有
2026-05-01,SNEX,Financial,23.8,16.2%,0.2553,70.5,🟡 持有
2026-05-01,SPNT,Financial,6.46,20.9%,0.0703,65.6,🟡 持有
2026-05-01,SSD,Basic Materials,23.25,18.0%,0.1529,63.4,🟡 持有
2026-05-01,STLD,Basic Materials,24.59,15.2%,0.279,84.2,🔴 止盈
2026-05-01,SYBT,Financial,14.85,31.4%,0.0848,54.2,🟡 持有
2026-05-01,SYF,Financial,7.92,21.8%,0.1179,59.5,🟡 持有
2026-05-01,TD,Financial,12.33,17.8%,0.1445,74.4,🟡 持有
2026-05-01,TDC,Technology,20.01,71.6%,0.0612,58.2,🟡 持有
2026-05-01,TGT,Consumer Defensive,16.08,24.0%,0.0878,77.4,🔴 止盈
2026-05-01,THG,Financial,9.48,20.6%,0.0759,63.7,🟡 持有
2026-05-01,TIGO,Communication Services,10.82,36.2%,0.0867,53.5,🟡 持有
2026-05-01,TOL,Consumer Cyclical,10.13,17.0%,0.0469,51.1,🟡 持有
2026-05-01,TRN,Industrials,11.39,24.6%,0.0877,53.8,🟡 持有
2026-05-01,TROW,Financial,11.1,19.3%,0.1476,82.6,🔴 止盈
2026-05-01,TRV,Financial,9.19,25.3%,0.0542,61.2,🟡 持有
2026-05-01,TTAM,Basic Materials,16.47,20.8%,0.0997,53.5,🟡 持有
2026-05-01,UGP,Energy,14.93,18.0%,0.0552,43.1,🟡 持有
2026-05-01,UNP,Industrials,22.06,40.7%,0.0921,66.8,🟡 持有
2026-05-01,UPS,Industrials,16.7,33.8%,0.1076,66.4,🟡 持有
2026-05-01,URI,Industrials,24.51,28.2%,0.3014,78.0,🔴 止盈
2026-05-01,VCTR,Financial,19.29,18.6%,0.2473,81.4,🔴 止盈
2026-05-01,VIRT,Financial,8.02,30.0%,0.0695,43.0,🟡 持有
2026-05-01,WFRD,Energy,17.22,29.8%,0.1625,62.7,🟡 持有
2026-05-01,WLY,Communication Services,14.27,21.5%,0.0649,71.2,🟡 持有
2026-05-01,WMS,Industrials,24.83,26.5%,0.0816,46.1,🟡 持有
2026-05-01,WU,Financial,6.71,47.7%,0.0522,51.9,🟡 持有
2026-05-01,YETI,Consumer Cyclical,19.77,23.8%,0.1079,65.7,🟡 持有
2026-05-01,ZM,Technology,16.08,20.3%,0.2122,79.6,🔴 止盈
2026-05-01,AIZ,Financial,13.61,15.9%,0.0607,65.9,🟡 持有
2026-05-01,AKO-B,Consumer Defensive,13.08,25.0%,0.0784,31.2,🟢 买入
2026-05-01,ALL,Financial,4.78,45.3%,0.0462,52.2,🟡 持有
2026-05-01,ALSN,Consumer Cyclical,17.88,35.4%,0.121,52.8,🟡 持有
2026-05-01,AMG,Financial,12.71,21.8%,0.0963,50.0,🟡 持有
2026-05-01,AN,Consumer Cyclical,12.31,27.1%,0.0623,58.7,🟡 持有
2026-05-01,APO,Financial,23.85,16.7%,0.2188,79.6,🔴 止盈
2026-05-01,AROC,Energy,21.35,22.7%,0.1258,73.9,🟡 持有
2026-05-01,ATAT,Consumer Cyclical,23.49,49.2%,0.0408,54.3,🟡 持有
2026-05-01,AZZ,Industrials,13.67,26.6%,0.1374,55.4,🟡 持有
2026-05-01,BFH,Financial,7.0,17.6%,0.1687,60.3,🟡 持有
2026-05-01,BHP,Basic Materials,19.61,21.4%,0.0795,53.4,🟡 持有
2026-05-01,BKE,Consumer Cyclical,13.37,49.4%,0.1096,57.0,🟡 持有
2026-05-01,BKR,Energy,22.04,17.1%,0.1447,68.2,🟡 持有
2026-05-01,BLD,Industrials,23.98,23.1%,0.2299,60.2,🟡 持有
2026-05-01,CACC,Financial,13.83,25.9%,0.2121,60.9,🟡 持有
2026-05-01,CAKE,Consumer Cyclical,17.65,33.7%,0.09,54.7,🟡 持有
