Date,Ticker,Sector,PE,ROE,Momentum,RSI,Action
2026-03-28,AA,Basic Materials,13.02,20.8%,-0.0576,44.9,🟡 持有
2026-03-28,ADEA,Technology,24.57,25.3%,0.172,66.0,🟡 持有
2026-03-28,ALL,Financial,5.31,39.5%,-0.0503,39.1,🟢 买入
2026-03-28,AMX,Communication Services,17.31,22.8%,-0.0465,57.5,🟡 持有
2026-03-28,APA,Energy,11.15,25.2%,0.4616,93.7,🔴 止盈
2026-03-28,ARLP,Energy,12.08,16.8%,0.0944,74.1,🟡 持有
2026-03-28,AROC,Energy,19.43,22.7%,0.0054,47.4,🟡 持有
2026-03-28,BCE,Communication Services,5.16,32.5%,-0.0282,45.0,🟡 持有
2026-03-28,BFH,Financial,6.66,16.4%,0.0179,49.0,🟡 持有
2026-03-28,BJ,Consumer Defensive,22.75,28.6%,0.0083,59.0,🟡 持有
2026-03-28,BMY,Healthcare,16.93,40.5%,-0.0614,37.7,🟢 买入
2026-03-28,BSM,Energy,11.89,26.6%,0.0033,45.7,🟡 持有
2026-03-28,CARG,Consumer Cyclical,22.48,34.9%,0.1404,56.3,🟡 持有
2026-03-28,CBT,Basic Materials,13.01,20.9%,-0.0267,65.8,🟡 持有
2026-03-28,CEPU,Utilities,8.11,15.7%,-0.0567,54.0,🟡 持有
2026-03-28,CFR,Financial,13.48,15.2%,-0.0327,47.4,🟡 持有
2026-03-28,CIB,Financial,17.91,17.6%,0.0309,57.1,🟡 持有
2026-03-28,CIG,Utilities,7.63,18.3%,-0.0084,59.3,🟡 持有
2026-03-28,CMRE,Industrials,5.8,16.6%,-0.0558,44.4,🟡 持有
2026-03-28,CNQ,Energy,13.59,25.8%,0.1548,71.4,🟡 持有
2026-03-28,CNX,Energy,11.05,15.0%,-0.0287,48.2,🟡 持有
2026-03-28,CPRX,Healthcare,13.89,25.5%,0.0139,38.3,🟢 买入
2026-03-28,CQP,Energy,12.46,101.3%,0.0591,54.3,🟡 持有
2026-03-28,CRUS,Technology,18.88,19.9%,0.0161,65.4,🟡 持有
2026-03-28,CSTM,Basic Materials,12.08,32.9%,-0.0611,41.0,🟡 持有
2026-03-28,DAL,Industrials,8.46,27.7%,-0.0132,60.1,🟡 持有
2026-03-28,DKL,Energy,16.12,847.5%,0.0229,60.7,🟡 持有
